"", "Mobile line" , "Brazil" ,  55568 , "0.1"
"", "Mobile line" , "Brazil" ,  55569 , "0.1"
"", "Mobile line" , "Brazil" ,  55577 , "0.1"
"", "Mobile line" , "Brazil" ,  55578 , "0.1"
"", "Mobile line" , "Brazil" ,  55579 , "0.1"
"", "Mobile line" , "Brazil" ,  55587 , "0.1"
"", "Mobile line" , "Brazil" ,  55588 , "0.1"
"", "Mobile line" , "Brazil" ,  55589 , "0.1"
"", "Mobile line" , "Brazil" ,  55597 , "0.1"
"", "Mobile line" , "Brazil" ,  55598 , "0.1"
"", "Mobile line" , "Brazil" ,  55599 , "0.1"
"", "Mobile line" , "Brazil" ,  55617 , "0.1"
"", "Mobile line" , "Brazil" ,  55618 , "0.1"
"", "Mobile line" , "Brazil" ,  55619 , "0.1"
"", "Mobile line" , "Brazil" ,  55627 , "0.1"
"", "Mobile line" , "Brazil" ,  55628 , "0.1"
"", "Mobile line" , "Brazil" ,  55629 , "0.1"
"", "Mobile line" , "Brazil" ,  55637 , "0.1"
"", "Mobile line" , "Brazil" ,  55638 , "0.1"
"", "Mobile line" , "Brazil" ,  55639 , "0.1"
"", "Mobile line" , "Brazil" ,  55647 , "0.1"
"", "Mobile line" , "Brazil" ,  55648 , "0.1"
"", "Mobile line" , "Brazil" ,  55649 , "0.1"
"", "Mobile line" , "Brazil" ,  55657 , "0.1"
"", "Mobile line" , "Brazil" ,  55658 , "0.1"
"", "Mobile line" , "Brazil" ,  55659 , "0.1"
"", "Mobile line" , "Brazil" ,  55667 , "0.1"
"", "Mobile line" , "Brazil" ,  55668 , "0.1"
"", "Mobile line" , "Brazil" ,  55669 , "0.1"
"", "Mobile line" , "Brazil" ,  55677 , "0.1"
"", "Mobile line" , "Brazil" ,  55678 , "0.1"
"", "Mobile line" , "Brazil" ,  55679 , "0.1"
"", "Mobile line" , "Brazil" ,  55687 , "0.1"
"", "Mobile line" , "Brazil" ,  55688 , "0.1"
"", "Mobile line" , "Brazil" ,  55689 , "0.1"
"", "Mobile line" , "Brazil" ,  55697 , "0.1"
"", "Mobile line" , "Brazil" ,  55698 , "0.1"
"", "Mobile line" , "Brazil" ,  55699 , "0.1"
"", "Mobile line" , "Brazil" ,  55717 , "0.1"
"", "Mobile line" , "Brazil" ,  55718 , "0.1"
"", "Mobile line" , "Brazil" ,  55719 , "0.1"
"", "Mobile line" , "Brazil" ,  55727 , "0.1"
"", "Mobile line" , "Brazil" ,  55728 , "0.1"
"", "Mobile line" , "Brazil" ,  55729 , "0.1"
"", "Mobile line" , "Brazil" ,  55737 , "0.1"
"", "Mobile line" , "Brazil" ,  55738 , "0.1"
"", "Mobile line" , "Brazil" ,  55739 , "0.1"
"", "Mobile line" , "Brazil" ,  55747 , "0.1"
"", "Mobile line" , "Brazil" ,  55748 , "0.1"
"", "Mobile line" , "Brazil" ,  55749 , "0.1"
"", "Mobile line" , "Brazil" ,  55757 , "0.1"
"", "Mobile line" , "Brazil" ,  55758 , "0.1"
"", "Mobile line" , "Brazil" ,  55759 , "0.1"
"", "Mobile line" , "Brazil" ,  55767 , "0.1"
"", "Mobile line" , "Brazil" ,  55768 , "0.1"
"", "Mobile line" , "Brazil" ,  55769 , "0.1"
"", "Mobile line" , "Brazil" ,  55777 , "0.1"
"", "Mobile line" , "Brazil" ,  55778 , "0.1"
